feature_id,timestamp,pod_name,service_name,label_memory_breach_next_30s,target_memory_mb_30s,target_memory_ratio_30s,actual_breach_within_30s,first_breach_second_offset
auth-api-6d1a0_56,2026-07-13T09:00:56+00:00,auth-api-6d1a0,auth-api,0,200.55,0.3917,0,
auth-api-6d1a0_57,2026-07-13T09:00:57+00:00,auth-api-6d1a0,auth-api,0,214.56,0.4191,0,
auth-api-6d1a0_58,2026-07-13T09:00:58+00:00,auth-api-6d1a0,auth-api,0,210.28,0.4107,0,
auth-api-6d1a0_59,2026-07-13T09:00:59+00:00,auth-api-6d1a0,auth-api,0,213.24,0.4165,0,
auth-api-6d1a0_60,2026-07-13T09:01:00+00:00,auth-api-6d1a0,auth-api,0,225.05,0.4396,0,
auth-api-6d1a0_61,2026-07-13T09:01:01+00:00,auth-api-6d1a0,auth-api,0,217.29,0.4244,0,
auth-api-6d1a0_62,2026-07-13T09:01:02+00:00,auth-api-6d1a0,auth-api,0,211.14,0.4124,0,
auth-api-6d1a0_63,2026-07-13T09:01:03+00:00,auth-api-6d1a0,auth-api,0,220.71,0.4311,0,
auth-api-6d1a0_64,2026-07-13T09:01:04+00:00,auth-api-6d1a0,auth-api,0,201.04,0.3927,0,
auth-api-6d1a0_65,2026-07-13T09:01:05+00:00,auth-api-6d1a0,auth-api,0,206.14,0.4026,0,
auth-api-6d1a0_66,2026-07-13T09:01:06+00:00,auth-api-6d1a0,auth-api,0,201.88,0.3943,0,
auth-api-6d1a0_67,2026-07-13T09:01:07+00:00,auth-api-6d1a0,auth-api,0,205.96,0.4023,0,
auth-api-6d1a0_68,2026-07-13T09:01:08+00:00,auth-api-6d1a0,auth-api,0,200.49,0.3916,0,
auth-api-6d1a0_69,2026-07-13T09:01:09+00:00,auth-api-6d1a0,auth-api,0,206.65,0.4036,0,
auth-api-6d1a0_70,2026-07-13T09:01:10+00:00,auth-api-6d1a0,auth-api,0,217.18,0.4242,0,
auth-api-6d1a0_71,2026-07-13T09:01:11+00:00,auth-api-6d1a0,auth-api,0,210.71,0.4115,0,
auth-api-6d1a0_72,2026-07-13T09:01:12+00:00,auth-api-6d1a0,auth-api,0,209.33,0.4088,0,
auth-api-6d1a0_73,2026-07-13T09:01:13+00:00,auth-api-6d1a0,auth-api,0,207.07,0.4044,0,
auth-api-6d1a0_74,2026-07-13T09:01:14+00:00,auth-api-6d1a0,auth-api,0,214.07,0.4181,0,
auth-api-6d1a0_75,2026-07-13T09:01:15+00:00,auth-api-6d1a0,auth-api,0,221.02,0.4317,0,
auth-api-6d1a0_76,2026-07-13T09:01:16+00:00,auth-api-6d1a0,auth-api,0,213.96,0.4179,0,
auth-api-6d1a0_77,2026-07-13T09:01:17+00:00,auth-api-6d1a0,auth-api,0,219.88,0.4295,0,
auth-api-6d1a0_78,2026-07-13T09:01:18+00:00,auth-api-6d1a0,auth-api,0,207.62,0.4055,0,
auth-api-6d1a0_79,2026-07-13T09:01:19+00:00,auth-api-6d1a0,auth-api,0,221.44,0.4325,0,
auth-api-6d1a0_80,2026-07-13T09:01:20+00:00,auth-api-6d1a0,auth-api,0,204.06,0.3986,0,
auth-api-6d1a0_81,2026-07-13T09:01:21+00:00,auth-api-6d1a0,auth-api,0,203.62,0.3977,0,
auth-api-6d1a0_82,2026-07-13T09:01:22+00:00,auth-api-6d1a0,auth-api,0,203.36,0.3972,0,
auth-api-6d1a0_83,2026-07-13T09:01:23+00:00,auth-api-6d1a0,auth-api,0,206.2,0.4027,0,
auth-api-6d1a0_84,2026-07-13T09:01:24+00:00,auth-api-6d1a0,auth-api,0,214.25,0.4185,0,
auth-api-6d1a0_85,2026-07-13T09:01:25+00:00,auth-api-6d1a0,auth-api,0,205.27,0.4009,0,
auth-api-6d1a0_86,2026-07-13T09:01:26+00:00,auth-api-6d1a0,auth-api,0,227.18,0.4437,0,
auth-api-6d1a0_87,2026-07-13T09:01:27+00:00,auth-api-6d1a0,auth-api,0,224.58,0.4386,0,
auth-api-6d1a0_88,2026-07-13T09:01:28+00:00,auth-api-6d1a0,auth-api,0,220.39,0.4304,0,
auth-api-6d1a0_89,2026-07-13T09:01:29+00:00,auth-api-6d1a0,auth-api,0,206.74,0.4038,0,
auth-api-6d1a0_90,2026-07-13T09:01:30+00:00,auth-api-6d1a0,auth-api,0,223.17,0.4359,0,
auth-api-6d1a0_91,2026-07-13T09:01:31+00:00,auth-api-6d1a0,auth-api,0,210.1,0.4104,0,
auth-api-6d1a0_92,2026-07-13T09:01:32+00:00,auth-api-6d1a0,auth-api,0,214.93,0.4198,0,
auth-api-6d1a0_93,2026-07-13T09:01:33+00:00,auth-api-6d1a0,auth-api,0,205.84,0.402,0,
auth-api-6d1a0_94,2026-07-13T09:01:34+00:00,auth-api-6d1a0,auth-api,0,203.68,0.3978,0,
auth-api-6d1a0_95,2026-07-13T09:01:35+00:00,auth-api-6d1a0,auth-api,0,223.05,0.4356,0,
auth-api-6d1a0_96,2026-07-13T09:01:36+00:00,auth-api-6d1a0,auth-api,0,211.27,0.4126,0,
auth-api-6d1a0_97,2026-07-13T09:01:37+00:00,auth-api-6d1a0,auth-api,0,216.52,0.4229,0,
auth-api-6d1a0_98,2026-07-13T09:01:38+00:00,auth-api-6d1a0,auth-api,0,215.74,0.4214,0,
auth-api-6d1a0_99,2026-07-13T09:01:39+00:00,auth-api-6d1a0,auth-api,0,201.65,0.3938,0,
auth-api-6d1a0_100,2026-07-13T09:01:40+00:00,auth-api-6d1a0,auth-api,0,208.44,0.4071,0,
auth-api-6d1a0_101,2026-07-13T09:01:41+00:00,auth-api-6d1a0,auth-api,0,212.42,0.4149,0,
auth-api-6d1a0_102,2026-07-13T09:01:42+00:00,auth-api-6d1a0,auth-api,0,218.55,0.4269,0,
auth-api-6d1a0_103,2026-07-13T09:01:43+00:00,auth-api-6d1a0,auth-api,0,204.39,0.3992,0,
auth-api-6d1a0_104,2026-07-13T09:01:44+00:00,auth-api-6d1a0,auth-api,0,197.74,0.3862,0,
auth-api-6d1a0_105,2026-07-13T09:01:45+00:00,auth-api-6d1a0,auth-api,0,211.81,0.4137,0,
auth-api-6d1a0_106,2026-07-13T09:01:46+00:00,auth-api-6d1a0,auth-api,0,216.98,0.4238,0,
auth-api-6d1a0_107,2026-07-13T09:01:47+00:00,auth-api-6d1a0,auth-api,0,213.38,0.4168,0,
auth-api-6d1a0_108,2026-07-13T09:01:48+00:00,auth-api-6d1a0,auth-api,0,208.29,0.4068,0,
auth-api-6d1a0_109,2026-07-13T09:01:49+00:00,auth-api-6d1a0,auth-api,0,209.95,0.4101,0,
auth-api-6d1a0_110,2026-07-13T09:01:50+00:00,auth-api-6d1a0,auth-api,0,214.6,0.4191,0,
auth-api-6d1a0_111,2026-07-13T09:01:51+00:00,auth-api-6d1a0,auth-api,0,201.6,0.3937,0,
auth-api-6d1a0_112,2026-07-13T09:01:52+00:00,auth-api-6d1a0,auth-api,0,210.82,0.4118,0,
auth-api-6d1a0_113,2026-07-13T09:01:53+00:00,auth-api-6d1a0,auth-api,0,208.55,0.4073,0,
auth-api-6d1a0_114,2026-07-13T09:01:54+00:00,auth-api-6d1a0,auth-api,0,211.47,0.413,0,
auth-api-6d1a0_115,2026-07-13T09:01:55+00:00,auth-api-6d1a0,auth-api,0,200.97,0.3925,0,
auth-api-6d1a0_116,2026-07-13T09:01:56+00:00,auth-api-6d1a0,auth-api,0,220.06,0.4298,0,
auth-api-6d1a0_117,2026-07-13T09:01:57+00:00,auth-api-6d1a0,auth-api,0,206.59,0.4035,0,
auth-api-6d1a0_118,2026-07-13T09:01:58+00:00,auth-api-6d1a0,auth-api,0,220.92,0.4315,0,
auth-api-6d1a0_119,2026-07-13T09:01:59+00:00,auth-api-6d1a0,auth-api,0,200.47,0.3915,0,
auth-api-6d1a0_120,2026-07-13T09:02:00+00:00,auth-api-6d1a0,auth-api,0,211.76,0.4136,0,
auth-api-6d1a0_121,2026-07-13T09:02:01+00:00,auth-api-6d1a0,auth-api,0,219.25,0.4282,0,
auth-api-6d1a0_122,2026-07-13T09:02:02+00:00,auth-api-6d1a0,auth-api,0,191.85,0.3747,0,
auth-api-6d1a0_123,2026-07-13T09:02:03+00:00,auth-api-6d1a0,auth-api,0,186.86,0.365,0,
auth-api-6d1a0_124,2026-07-13T09:02:04+00:00,auth-api-6d1a0,auth-api,0,194.81,0.3805,0,
auth-api-6d1a0_125,2026-07-13T09:02:05+00:00,auth-api-6d1a0,auth-api,0,209.66,0.4095,0,
auth-api-6d1a0_126,2026-07-13T09:02:06+00:00,auth-api-6d1a0,auth-api,0,219.08,0.4279,0,
auth-api-6d1a0_127,2026-07-13T09:02:07+00:00,auth-api-6d1a0,auth-api,0,208.54,0.4073,0,
auth-api-6d1a0_128,2026-07-13T09:02:08+00:00,auth-api-6d1a0,auth-api,0,203.43,0.3973,0,
auth-api-6d1a0_129,2026-07-13T09:02:09+00:00,auth-api-6d1a0,auth-api,0,211.49,0.4131,0,
auth-api-6d1a0_130,2026-07-13T09:02:10+00:00,auth-api-6d1a0,auth-api,0,224.22,0.4379,0,
auth-api-6d1a0_131,2026-07-13T09:02:11+00:00,auth-api-6d1a0,auth-api,0,203.01,0.3965,0,
auth-api-6d1a0_132,2026-07-13T09:02:12+00:00,auth-api-6d1a0,auth-api,0,211.87,0.4138,0,
auth-api-6d1a0_133,2026-07-13T09:02:13+00:00,auth-api-6d1a0,auth-api,0,208.58,0.4074,0,
auth-api-6d1a0_134,2026-07-13T09:02:14+00:00,auth-api-6d1a0,auth-api,0,207.66,0.4056,0,
auth-api-6d1a0_135,2026-07-13T09:02:15+00:00,auth-api-6d1a0,auth-api,0,210.86,0.4118,0,
auth-api-6d1a0_136,2026-07-13T09:02:16+00:00,auth-api-6d1a0,auth-api,0,206.51,0.4033,0,
auth-api-6d1a0_137,2026-07-13T09:02:17+00:00,auth-api-6d1a0,auth-api,0,185.5,0.3623,0,
auth-api-6d1a0_138,2026-07-13T09:02:18+00:00,auth-api-6d1a0,auth-api,0,215.25,0.4204,0,
auth-api-6d1a0_139,2026-07-13T09:02:19+00:00,auth-api-6d1a0,auth-api,0,197.12,0.385,0,
auth-api-6d1a0_140,2026-07-13T09:02:20+00:00,auth-api-6d1a0,auth-api,0,207.87,0.406,0,
auth-api-6d1a0_141,2026-07-13T09:02:21+00:00,auth-api-6d1a0,auth-api,0,219.49,0.4287,0,
auth-api-6d1a0_142,2026-07-13T09:02:22+00:00,auth-api-6d1a0,auth-api,0,211.91,0.4139,0,
auth-api-6d1a0_143,2026-07-13T09:02:23+00:00,auth-api-6d1a0,auth-api,0,204.3,0.399,0,
auth-api-6d1a0_144,2026-07-13T09:02:24+00:00,auth-api-6d1a0,auth-api,0,193.47,0.3779,0,
auth-api-6d1a0_145,2026-07-13T09:02:25+00:00,auth-api-6d1a0,auth-api,0,205.4,0.4012,0,
auth-api-6d1a0_146,2026-07-13T09:02:26+00:00,auth-api-6d1a0,auth-api,0,207.48,0.4052,0,
auth-api-6d1a0_147,2026-07-13T09:02:27+00:00,auth-api-6d1a0,auth-api,0,217.9,0.4256,0,
auth-api-6d1a0_148,2026-07-13T09:02:28+00:00,auth-api-6d1a0,auth-api,0,212.24,0.4145,0,
auth-api-6d1a0_149,2026-07-13T09:02:29+00:00,auth-api-6d1a0,auth-api,0,209.77,0.4097,0,
auth-api-6d1a0_150,2026-07-13T09:02:30+00:00,auth-api-6d1a0,auth-api,0,207.29,0.4049,0,
auth-api-6d1a0_151,2026-07-13T09:02:31+00:00,auth-api-6d1a0,auth-api,0,210.8,0.4117,0,
auth-api-6d1a0_152,2026-07-13T09:02:32+00:00,auth-api-6d1a0,auth-api,0,206.84,0.404,0,
auth-api-6d1a0_153,2026-07-13T09:02:33+00:00,auth-api-6d1a0,auth-api,0,196.17,0.3831,0,
auth-api-6d1a0_154,2026-07-13T09:02:34+00:00,auth-api-6d1a0,auth-api,0,202.52,0.3955,0,
auth-api-6d1a0_155,2026-07-13T09:02:35+00:00,auth-api-6d1a0,auth-api,0,216.09,0.4221,0,
auth-api-6d1a0_156,2026-07-13T09:02:36+00:00,auth-api-6d1a0,auth-api,0,211.57,0.4132,0,
auth-api-6d1a0_157,2026-07-13T09:02:37+00:00,auth-api-6d1a0,auth-api,0,209.33,0.4088,0,
auth-api-6d1a0_158,2026-07-13T09:02:38+00:00,auth-api-6d1a0,auth-api,0,215.04,0.42,0,
auth-api-6d1a0_159,2026-07-13T09:02:39+00:00,auth-api-6d1a0,auth-api,0,216.27,0.4224,0,
auth-api-6d1a0_160,2026-07-13T09:02:40+00:00,auth-api-6d1a0,auth-api,0,211.36,0.4128,0,
auth-api-6d1a0_161,2026-07-13T09:02:41+00:00,auth-api-6d1a0,auth-api,0,193.95,0.3788,0,
auth-api-6d1a0_162,2026-07-13T09:02:42+00:00,auth-api-6d1a0,auth-api,0,210.45,0.411,0,
auth-api-6d1a0_163,2026-07-13T09:02:43+00:00,auth-api-6d1a0,auth-api,0,202.62,0.3957,0,
auth-api-6d1a0_164,2026-07-13T09:02:44+00:00,auth-api-6d1a0,auth-api,0,199.63,0.3899,0,
auth-api-6d1a0_165,2026-07-13T09:02:45+00:00,auth-api-6d1a0,auth-api,0,211.44,0.413,0,
auth-api-6d1a0_166,2026-07-13T09:02:46+00:00,auth-api-6d1a0,auth-api,0,208.7,0.4076,0,
auth-api-6d1a0_167,2026-07-13T09:02:47+00:00,auth-api-6d1a0,auth-api,0,207.08,0.4045,0,
auth-api-6d1a0_168,2026-07-13T09:02:48+00:00,auth-api-6d1a0,auth-api,0,221.56,0.4327,0,
auth-api-6d1a0_169,2026-07-13T09:02:49+00:00,auth-api-6d1a0,auth-api,0,214.06,0.4181,0,
auth-api-6d1a0_170,2026-07-13T09:02:50+00:00,auth-api-6d1a0,auth-api,0,195.66,0.3821,0,
auth-api-6d1a0_171,2026-07-13T09:02:51+00:00,auth-api-6d1a0,auth-api,0,206.97,0.4042,0,
auth-api-6d1a0_172,2026-07-13T09:02:52+00:00,auth-api-6d1a0,auth-api,0,203.85,0.3981,0,
auth-api-6d1a0_173,2026-07-13T09:02:53+00:00,auth-api-6d1a0,auth-api,0,198.28,0.3873,0,
auth-api-6d1a0_174,2026-07-13T09:02:54+00:00,auth-api-6d1a0,auth-api,0,227.06,0.4435,0,
auth-api-6d1a0_175,2026-07-13T09:02:55+00:00,auth-api-6d1a0,auth-api,0,214.81,0.4196,0,
auth-api-6d1a0_176,2026-07-13T09:02:56+00:00,auth-api-6d1a0,auth-api,0,223.88,0.4373,0,
auth-api-6d1a0_177,2026-07-13T09:02:57+00:00,auth-api-6d1a0,auth-api,0,213.81,0.4176,0,
auth-api-6d1a0_178,2026-07-13T09:02:58+00:00,auth-api-6d1a0,auth-api,0,208.92,0.408,0,
auth-api-6d1a0_179,2026-07-13T09:02:59+00:00,auth-api-6d1a0,auth-api,0,223.65,0.4368,0,
auth-api-6d1a0_180,2026-07-13T09:03:00+00:00,auth-api-6d1a0,auth-api,0,207.39,0.4051,0,
auth-api-6d1a0_181,2026-07-13T09:03:01+00:00,auth-api-6d1a0,auth-api,0,211.84,0.4138,0,
auth-api-6d1a0_182,2026-07-13T09:03:02+00:00,auth-api-6d1a0,auth-api,0,208.97,0.4081,0,
auth-api-6d1a0_183,2026-07-13T09:03:03+00:00,auth-api-6d1a0,auth-api,0,212.98,0.416,0,
auth-api-6d1a0_184,2026-07-13T09:03:04+00:00,auth-api-6d1a0,auth-api,0,212.2,0.4145,0,
auth-api-6d1a0_185,2026-07-13T09:03:05+00:00,auth-api-6d1a0,auth-api,0,218.75,0.4272,0,
auth-api-6d1a0_186,2026-07-13T09:03:06+00:00,auth-api-6d1a0,auth-api,0,209.52,0.4092,0,
auth-api-6d1a0_187,2026-07-13T09:03:07+00:00,auth-api-6d1a0,auth-api,0,212.19,0.4144,0,
auth-api-6d1a0_188,2026-07-13T09:03:08+00:00,auth-api-6d1a0,auth-api,0,198.9,0.3885,0,
auth-api-6d1a0_189,2026-07-13T09:03:09+00:00,auth-api-6d1a0,auth-api,0,209.22,0.4086,0,
auth-api-6d1a0_190,2026-07-13T09:03:10+00:00,auth-api-6d1a0,auth-api,0,208.27,0.4068,0,
auth-api-6d1a0_191,2026-07-13T09:03:11+00:00,auth-api-6d1a0,auth-api,0,208.55,0.4073,0,
auth-api-6d1a0_192,2026-07-13T09:03:12+00:00,auth-api-6d1a0,auth-api,0,200.41,0.3914,0,
auth-api-6d1a0_193,2026-07-13T09:03:13+00:00,auth-api-6d1a0,auth-api,0,208.62,0.4075,0,
auth-api-6d1a0_194,2026-07-13T09:03:14+00:00,auth-api-6d1a0,auth-api,0,212.07,0.4142,0,
auth-api-6d1a0_195,2026-07-13T09:03:15+00:00,auth-api-6d1a0,auth-api,0,219.12,0.428,0,
auth-api-6d1a0_196,2026-07-13T09:03:16+00:00,auth-api-6d1a0,auth-api,0,208.78,0.4078,0,
auth-api-6d1a0_197,2026-07-13T09:03:17+00:00,auth-api-6d1a0,auth-api,0,218.49,0.4267,0,
auth-api-6d1a0_198,2026-07-13T09:03:18+00:00,auth-api-6d1a0,auth-api,0,204.71,0.3998,0,
auth-api-6d1a0_199,2026-07-13T09:03:19+00:00,auth-api-6d1a0,auth-api,0,209.22,0.4086,0,
auth-api-6d1a0_200,2026-07-13T09:03:20+00:00,auth-api-6d1a0,auth-api,0,211.47,0.413,0,
auth-api-6d1a0_201,2026-07-13T09:03:21+00:00,auth-api-6d1a0,auth-api,0,208.11,0.4065,0,
auth-api-6d1a0_202,2026-07-13T09:03:22+00:00,auth-api-6d1a0,auth-api,0,201.17,0.3929,0,
auth-api-6d1a0_203,2026-07-13T09:03:23+00:00,auth-api-6d1a0,auth-api,0,203.42,0.3973,0,
auth-api-6d1a0_204,2026-07-13T09:03:24+00:00,auth-api-6d1a0,auth-api,0,197.36,0.3855,0,
auth-api-6d1a0_205,2026-07-13T09:03:25+00:00,auth-api-6d1a0,auth-api,0,227.19,0.4437,0,
auth-api-6d1a0_206,2026-07-13T09:03:26+00:00,auth-api-6d1a0,auth-api,0,195.59,0.382,0,
auth-api-6d1a0_207,2026-07-13T09:03:27+00:00,auth-api-6d1a0,auth-api,0,212.16,0.4144,0,
auth-api-6d1a0_208,2026-07-13T09:03:28+00:00,auth-api-6d1a0,auth-api,0,215.82,0.4215,0,
auth-api-6d1a0_209,2026-07-13T09:03:29+00:00,auth-api-6d1a0,auth-api,0,213.75,0.4175,0,
auth-api-6d1a0_210,2026-07-13T09:03:30+00:00,auth-api-6d1a0,auth-api,0,209.74,0.4096,0,
auth-api-6d1a0_211,2026-07-13T09:03:31+00:00,auth-api-6d1a0,auth-api,0,214.98,0.4199,0,
auth-api-6d1a0_212,2026-07-13T09:03:32+00:00,auth-api-6d1a0,auth-api,0,202.02,0.3946,0,
auth-api-6d1a0_213,2026-07-13T09:03:33+00:00,auth-api-6d1a0,auth-api,0,217.23,0.4243,0,
auth-api-6d1a0_214,2026-07-13T09:03:34+00:00,auth-api-6d1a0,auth-api,0,202.78,0.3961,0,
auth-api-6d1a0_215,2026-07-13T09:03:35+00:00,auth-api-6d1a0,auth-api,0,214.08,0.4181,0,
auth-api-6d1a0_216,2026-07-13T09:03:36+00:00,auth-api-6d1a0,auth-api,0,218.43,0.4266,0,
auth-api-6d1a0_217,2026-07-13T09:03:37+00:00,auth-api-6d1a0,auth-api,0,216.99,0.4238,0,
auth-api-6d1a0_218,2026-07-13T09:03:38+00:00,auth-api-6d1a0,auth-api,0,197.36,0.3855,0,
auth-api-6d1a0_219,2026-07-13T09:03:39+00:00,auth-api-6d1a0,auth-api,0,214.3,0.4186,0,
auth-api-6d1a0_220,2026-07-13T09:03:40+00:00,auth-api-6d1a0,auth-api,0,201.55,0.3937,0,
auth-api-6d1a0_221,2026-07-13T09:03:41+00:00,auth-api-6d1a0,auth-api,0,207.86,0.406,0,
auth-api-6d1a0_222,2026-07-13T09:03:42+00:00,auth-api-6d1a0,auth-api,0,206.96,0.4042,0,
auth-api-6d1a0_223,2026-07-13T09:03:43+00:00,auth-api-6d1a0,auth-api,0,216.46,0.4228,0,
auth-api-6d1a0_224,2026-07-13T09:03:44+00:00,auth-api-6d1a0,auth-api,0,200.97,0.3925,0,
auth-api-6d1a0_225,2026-07-13T09:03:45+00:00,auth-api-6d1a0,auth-api,0,212.71,0.4154,0,
auth-api-6d1a0_226,2026-07-13T09:03:46+00:00,auth-api-6d1a0,auth-api,0,222.93,0.4354,0,
auth-api-6d1a0_227,2026-07-13T09:03:47+00:00,auth-api-6d1a0,auth-api,0,191.92,0.3748,0,
auth-api-6d1a0_228,2026-07-13T09:03:48+00:00,auth-api-6d1a0,auth-api,0,207.85,0.406,0,
auth-api-6d1a0_229,2026-07-13T09:03:49+00:00,auth-api-6d1a0,auth-api,0,209.2,0.4086,0,
auth-api-6d1a0_230,2026-07-13T09:03:50+00:00,auth-api-6d1a0,auth-api,0,211.91,0.4139,0,
auth-api-6d1a0_231,2026-07-13T09:03:51+00:00,auth-api-6d1a0,auth-api,0,203.45,0.3974,0,
auth-api-6d1a0_232,2026-07-13T09:03:52+00:00,auth-api-6d1a0,auth-api,0,202.0,0.3945,0,
auth-api-6d1a0_233,2026-07-13T09:03:53+00:00,auth-api-6d1a0,auth-api,0,212.79,0.4156,0,
auth-api-6d1a0_234,2026-07-13T09:03:54+00:00,auth-api-6d1a0,auth-api,0,218.09,0.426,0,
auth-api-6d1a0_235,2026-07-13T09:03:55+00:00,auth-api-6d1a0,auth-api,0,222.02,0.4336,0,
auth-api-6d1a0_236,2026-07-13T09:03:56+00:00,auth-api-6d1a0,auth-api,0,201.62,0.3938,0,
auth-api-6d1a0_237,2026-07-13T09:03:57+00:00,auth-api-6d1a0,auth-api,0,218.18,0.4261,0,
auth-api-6d1a0_238,2026-07-13T09:03:58+00:00,auth-api-6d1a0,auth-api,0,224.42,0.4383,0,
auth-api-6d1a0_239,2026-07-13T09:03:59+00:00,auth-api-6d1a0,auth-api,0,215.09,0.4201,0,
auth-api-6d1a0_240,2026-07-13T09:04:00+00:00,auth-api-6d1a0,auth-api,0,216.26,0.4224,0,
auth-api-6d1a0_241,2026-07-13T09:04:01+00:00,auth-api-6d1a0,auth-api,0,207.19,0.4047,0,
auth-api-6d1a0_242,2026-07-13T09:04:02+00:00,auth-api-6d1a0,auth-api,0,208.1,0.4064,0,
auth-api-6d1a0_243,2026-07-13T09:04:03+00:00,auth-api-6d1a0,auth-api,0,222.89,0.4353,0,
auth-api-6d1a0_244,2026-07-13T09:04:04+00:00,auth-api-6d1a0,auth-api,0,214.01,0.418,0,
auth-api-6d1a0_245,2026-07-13T09:04:05+00:00,auth-api-6d1a0,auth-api,0,208.85,0.4079,0,
auth-api-6d1a0_246,2026-07-13T09:04:06+00:00,auth-api-6d1a0,auth-api,0,221.51,0.4326,0,
auth-api-6d1a0_247,2026-07-13T09:04:07+00:00,auth-api-6d1a0,auth-api,0,212.97,0.416,0,
auth-api-6d1a0_248,2026-07-13T09:04:08+00:00,auth-api-6d1a0,auth-api,0,216.36,0.4226,0,
auth-api-6d1a0_249,2026-07-13T09:04:09+00:00,auth-api-6d1a0,auth-api,0,202.96,0.3964,0,
auth-api-6d1a0_250,2026-07-13T09:04:10+00:00,auth-api-6d1a0,auth-api,0,213.04,0.4161,0,
auth-api-6d1a0_251,2026-07-13T09:04:11+00:00,auth-api-6d1a0,auth-api,0,218.87,0.4275,0,
auth-api-6d1a0_252,2026-07-13T09:04:12+00:00,auth-api-6d1a0,auth-api,0,197.43,0.3856,0,
auth-api-6d1a0_253,2026-07-13T09:04:13+00:00,auth-api-6d1a0,auth-api,0,212.99,0.416,0,
auth-api-6d1a0_254,2026-07-13T09:04:14+00:00,auth-api-6d1a0,auth-api,0,213.71,0.4174,0,
auth-api-6d1a0_255,2026-07-13T09:04:15+00:00,auth-api-6d1a0,auth-api,0,222.15,0.4339,0,
auth-api-6d1a0_256,2026-07-13T09:04:16+00:00,auth-api-6d1a0,auth-api,0,206.65,0.4036,0,
auth-api-6d1a0_257,2026-07-13T09:04:17+00:00,auth-api-6d1a0,auth-api,0,212.42,0.4149,0,
auth-api-6d1a0_258,2026-07-13T09:04:18+00:00,auth-api-6d1a0,auth-api,0,209.29,0.4088,0,
auth-api-6d1a0_259,2026-07-13T09:04:19+00:00,auth-api-6d1a0,auth-api,0,203.83,0.3981,0,
auth-api-6d1a0_260,2026-07-13T09:04:20+00:00,auth-api-6d1a0,auth-api,0,215.59,0.4211,0,
